TPH,BPH,TST,BST,W
7.82,7.8,24.28,23.51,Wet
7.4,7.3,25.91,24.33,Dry
7.38,7.37,25.54,23.8,Wet
7.27,7.33,19.97,19.23,Dry
7.53,7.54,12.5,12.2,Dry
7.5,7.89,15.46,14.01,Dry
7.58,7.57,20.08,19.38,Wet
7.55,7.59,25.32,24.19,Dry
7.81,7.87,12.39,11.05,Wet
8.03,8.06,9.19,9.54,Dry
7.56,7.35,21.57,20.49,Dry
7.87,7.88,23.94,22.75,Dry
8.14,8.15,16.85,16.71,Wet
7.7,7.83,14.57,14.79,Dry
7.38,7.42,20.33,20.29,Wet
7.7,7.71,25.11,24.82,Wet
7.61,7.6,16.31,16.32,Dry
7.84,7.88,22.73,22.34,Dry
8.29,8.31,5.56,5.93,Wet
7.42,7.5,24.55,23.92,Dry
7.88,7.9,9.29,9.24,Dry
7.79,7.81,20.61,20.54,Wet
7.12,7.16,22.12,20.15,Wet
7.38,7.38,18.67,18.75,Dry
7.32,7.41,1.68,1.79,Wet
7.22,7.2,22.66,22.61,Dry
7.29,7.28,25.72,25.68,Dry
7.29,7.53,19.17,18.88,Dry
7.15,7.21,21.69,21.67,Dry
7.63,7.62,26.83,26.55,Dry
7.45,7.4,3.55,5.78,Dry
8.14,7.63,27.01,25.21,Dry
8.14,7.63,27.49,24.69,Dry
7.1,7.09,24.81,24.82,Wet
7.68,7.7,18.44,18.31,Dry
8.02,7.93,23.51,22.22,Dry
7.8,7.67,22.65,19.65,Dry
7.36,7.12,20.47,18.83,Dry
7.44,7.47,6.18,6.6,Dry
7.45,7.51,22.19,21.4,Wet
7.45,7.46,23.34,22.77,Dry
7.4,7.39,18.41,18.01,Dry
7.08,7.11,21.84,21.67,Dry
7.42,7.42,19.3,18.88,Dry
7.57,7.59,22.85,22.83,Dry
7.94,8.04,3.6,3.38,Wet
7.39,7.4,22.02,19.89,Dry
7.56,7.63,22.66,18.87,Wet
7.72,7.73,21.28,20.78,Wet
7.4,7.42,17.53,17.5,Wet
7.57,7.58,20.38,20.34,Dry
7.74,7.77,20.09,19.87,Dry
7.84,7.84,21.71,21.71,Dry
7.79,7.71,25.64,24.91,Dry
8.23,8,23.06,19.46,Dry
7.47,7.54,20.65,20.36,Dry
7.17,7.2,22.84,20.69,Dry
7.3,7.29,24.2,23.51,Dry
7.36,7.34,22.35,21,Dry
7.9,7.87,8.37,8.51,Wet
7.58,7.57,11.15,11.4,Dry
8.07,7.84,26.13,25.39,Wet
7.17,7.14,20.95,20.95,Wet
7.64,7.65,20.07,19.05,Dry
7.62,7.67,5.17,6.2,Dry
7.61,7.62,24.04,21.41,Dry
8.06,7.9,18.28,17.5,Dry
7.81,7.85,6.78,6.89,Dry
8.29,8.13,5.7,4.18,Dry
7.61,7.65,6.02,6.72,Dry
7.84,7.86,5.81,6.19,Dry
7.74,7.68,26.11,23.85,Dry
7.44,7.47,20.14,20.02,Dry
7.29,7.29,22.87,22.88,Wet
7.52,7.49,22.4,22.3,Dry
7.45,7.47,26.59,26.13,Dry
8.17,8.12,0.3,0.53,Dry
7.9,7.86,24.77,23.89,Dry
7.57,7.56,10.01,8.64,Dry
7.39,7.38,21.32,21.07,Dry
7.71,7.74,22.11,21.3,Dry
7.66,7.69,23.93,23.74,Wet
7.54,7.64,22.53,21.75,Dry
7.14,7.15,22.39,22.19,Wet
8.05,7.98,26.04,24.62,Dry
7.68,7.69,14.96,14.53,Wet
7.28,7.49,14.28,14.3,Wet
7.87,7.9,14.18,14.17,Dry
7.73,7.87,6.83,8.14,Wet
8.36,8.31,3.09,2.73,Wet
7.49,7.48,16.8,16.8,Dry
7.16,7.23,23.67,23.67,Dry
7.67,7.48,20.99,20.09,Dry
7.66,7.51,23.7,19.69,Wet
7.72,7.94,13.65,13.47,Wet
7.43,7.7,5.93,5.33,Wet
7.27,7.29,8.47,8.55,Dry
7.76,8,1.81,5.64,Dry
8.33,8.23,24.73,23.38,Dry
7.06,7.08,23.94,23.18,Dry
7.72,7.75,16.5,15.97,Dry
7.36,7.37,21.73,21.57,Dry
7.21,7.21,23.86,23.46,Wet
7.43,7.43,2.78,2.4,Dry
7.55,7.35,25.5,22.47,Dry
7.72,7.5,23.52,20.81,Dry
7.44,7.45,19.52,19.44,Wet
7.76,7.8,16.56,14.71,Wet
7.8,7.32,22.47,18.21,Dry
7.65,7.61,13.58,11.7,Dry
7.39,7.35,15.67,15.38,Dry
7.91,7.72,24.98,22.61,Dry
7.62,7.67,11.84,12.92,Wet
7.3,7.33,23.1,23.09,Dry
7.33,7.32,24.18,21.88,Dry
7.98,7.98,18.19,17.73,Dry
7.56,7.67,15.33,12.68,Dry
7.38,7.47,16.58,16.16,Dry
7.62,7.56,23.84,23.35,Dry
7.14,7.21,21.89,21.27,Dry
7.84,7.83,23.06,22.83,Dry
8.57,8.43,22.04,20.88,Dry
7.31,7.34,12.83,12.65,Dry
7.79,7.54,26.85,25.27,Dry
7.47,7.29,19.89,20.55,Wet
7.72,7.79,22.94,21.1,Dry
8.1,7.73,26.79,24.72,Dry
7.08,7.11,23.4,20.94,Dry
7.3,7.25,22.33,22.11,Wet
8.03,7.81,26.62,25.86,Dry
7.59,7.76,19.33,16.89,Wet
7.83,8.02,3.28,4.18,Dry
6.89,6.99,24.2,24.3,Wet
7.11,7.12,24.87,23.26,Dry
7.35,7.51,23.37,22.74,Dry
7.62,7.46,17.22,15.49,Dry
7.9,7.91,24.07,23.38,Dry
7.17,7.33,14.2,13.7,Wet
8,7.98,8.08,8.83,Dry
7.47,7.53,22.03,20.67,Wet
7.6,7.56,21.34,21.11,Dry
7.83,7.88,7.42,7.4,Dry
7.19,7.21,20.19,18.08,Wet
7.35,7.34,25.52,25.25,Wet
7.67,7.71,17.69,17.52,Dry
7.29,7.24,23.85,23.17,Dry
7.55,7.64,22.87,21.12,Wet
8.09,8.14,24.92,24.57,Dry
6.85,6.86,22.4,23.03,Dry
8.11,7.96,21.55,20.48,Dry
7.76,7.88,20.76,19.28,Dry
8.22,8.16,25.53,25.01,Dry
7.74,7.73,1.83,4.19,Dry
7.32,7.21,21.85,20.46,Dry
